Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
Tool Input Data,"Type of primary input data. Multiple values permitted, comma separated.","Accession, Alignment, Biological Model ID, Biological Model Name, Cell Line Name, Cell Migration Track Image, Cell Type Identifier, Cell Type Name, Cell Type Ontology ID, Chromosome Name, Chromosome Report, Clustered Expression Profiles, Codon Number, Comparison Matrix, Compound Identifier, Compound Name, Concentration, Count Matrix, DNA Sequence, Data Index, Data Reference, Database Search Results, Drug Identifier, Drug Name, Drug Report, Electronic Health Record, Enzyme Kinetics Data, Experimental Measurement, Expression Data, GO-Term Enrichment Data, Gene Expression Matrix, Gene Expression Profile, Gene ID, Gene ID (NCBI), Gene Identifier, Gene Name, Gene Report, Gene Symbol, Gene Tree, Genetic Map, Genotype/Phenotype Report, Heat Map, Hidden Markov Model, Hierarchy, Histogram, Identifier, Image, Image Metadata, Kinetic Model, MRI Image, Map, Map Data, Mass Spectrometry Data, Mass Spectrum, Mathematical Model, Matrix, Molecular Property, Molecular Simulation Data, Molecule Identifier, Molecule Name, Morphology Parameter, Mutation ID, Not Applicable, Nucleic Acid Identifier, Nucleic Acid Report, Nucleic Acid Sequence, Ontology, Ontology Concept Data, Ontology Data, Ontology Identifier, Ontology Mapping, Ontology Name, Ontology Term, Organism Identifier, Organism Name, Over-Represesntation Data, P-Value, Pair Sequence Alignment, Pathway Or Network, Pathway Or Network Report, Pathway Overrepresentation Data, Peptide Identification, Peptide Property, Phenotype Name, Phylogenetic Data, Phylogenetic Tree, Plain Text, Plot, Position Weight Matrix, Position-Specific Scoring Matrix, Protein Contact Map, Protein Identifier, Protein Interaction Data, Protein Name, Protein Property, Protein Report, Protein Sequence, Protein Structure Report, Quality Control Report, RNA Sequence, Raw Image, Reaction Data, RefSeq Accession, Report, Resource Metadata, Sample Annotation, Sample ID, Score, Sequence, Sequence Alignment, Sequence Attribute, Sequence Cluster, Sequence Composition Plot, Sequence Composition Report, Sequence Coordinates, Sequence Features, Sequence Image, Sequence Motif, Sequence Position, Sequence Property, Sequence Range, Sequence Record, Sequence Report, Sequence Search Results, Sequence Set, Sequence Signature Data, Sequence Similarity, Sequence Similarity Score, Sequence Variations, Simulation, Small Molecule Report, Spectrum, Statistical Estimate Score, Strain Identifier, Strain Name, Structure, Structure Report, Taxonomy, Text Data, Text Mining Report, Topology Data, Training Material, Trajectory Data, Transcription Factor Identifier, Transcription Factor Name, Vmax, dbSNP ID",,True,,,string_list,,,,,,biotoolsschema
Tool Input Format,"Allowed format(s) of the input data. Multiple values permitted, comma separated.","Alignment Format, Alignment Format (Pair Only), Alignment Format (Text), Annotated Text Format, Antimony, BAM, BCF, BED, BLAST Results, BNGL, Binary Format, Biological Model Format, Biological Pathway Or Network Format, CSV, Chemical Data Format, Cytoband Format, Cytoscape Input File Format, DCC, DCD, DSV, Database Hits (Sequence) Format , Docker Image Format, Document Format, Dot-Bracket Format, FASTA, FASTQ, FASTQ-Illumina, FCS, GCT/Res Format, GFF, GFF3, GIF, GML, GTF, Gene Annotation Format, Gene Cluster Format, Gene Expression Report Format, Genotype And Phenotype Annotation Format, Graph Format, H5AD, HDF, HDF5, HTML, Hidden Markov Model Format, Image Format, Individual Genetic Data Format, JPG, JSON, LSM, MAF, MAGE-ML, MAGE-TAB, MAT, MATLAB Script, MSF, Map Format, Mass Spectrometry Data Format, Matrix Format, NIFTI Format, Nexus Format, Not Applicable, NumPy Format, OME-TIFF, Ontology Format, PDF, PNG, PS, PSF, Phylip Format, Phylip Format Variant, Phylogenetic Tree Format, Phylogenetic Tree Format (Text), Protein Interaction Format, Python Script, R File Format, R Script, RDS, RNA Annotation Format, RNA Secondary Structure Format, RPKM, Raw Sequence Format, SAM, SBML, SQLite Format, SVG, Scores Format, Sequence Annotation Track Format, Sequence Cluster Format, Sequence Cluster Format (Protein), Sequence Feature Annotation Format, Sequence Feature Table Format, Sequence Feature Table Format (Text), Sequence Profile Format, Sequence Range Format, Sequence Record Format, Sequence Trace Format, Sequence Variation Annotation Format, TIFF, TSV, TXT, Tertiary Structure Format, Textual Format, Topology Format, Trajectory Format, VCF, Workflow Format, XML, YAML, bedgraph, bigWig, cel, imzML Metadata File, mzML, nii, pkl, sif, xls, xlsx, PDB, HED, MRC, Unspecified",,True,,,string_list,,,,,,biotoolsschema
Tool Language,"Name of programming language the software source code was written in. Multiple values permitted, comma separated.","AWK, ActionScript, Ada, AppleScript, Assembly Language, Bash, C, C#, C++, COBOL, CSS, CWL, ColdFusion, D, Delphi, Dockerfile, Dylan, Eiffel, Elm, Forth, Fortran, Go, Groovy, HTML, Haskell, Icarus, JSP, Java, JavaScript, Julia, LabVIEW, Lisp, Lua, MATLAB, MLXTRAN, Maple, Mathematica, NMTRAN, Netlogo, Nextflow, Ocaml, OpenEdge ABL, Other, PHP, Pascal, Perl, PostScript, PowerShell, Prolog, PyMOL, Python, R, REXX, Racket, Ruby, SAS, SQL, Scala, Scheme, Shell, TeX, Turing, VHDL, Verilog, Visual Basic, WDL, XAML",,,,,string_list,,,,,,biotoolsschema
Tool Link Note,Comment about the link.,,,,,,string,,,,,,biotoolsschema
Tool Link Type,"The type of data, information or system that is obtained when the link is resolved. Multiple values permitted, comma separated.","Discussion Forum, Galaxy Service, Helpdesk, Issue Tracker, Mailing list, Mirror, Other, Repository, Service, Social Media, Software Catalogue, Technical Monitoring",,,,,string_list,,,,,,biotoolsschema
Tool Link Url,A link of some relevance to the software (URL).,,,,,,string,uri,,,,,biotoolsschema
Tool Name,Canonical tool name provided by the tool developer or service provider.,,,True,,,string,,,,,,biotoolsschema
Tool Operating System,"The operating system supported by a downloadable software package. Multiple values permitted, comma separated.","Linux, Mac, Windows",,,,,string_list,,,,,,biotoolsschema
Tool Operation,"The basic operation(s) performed by this software function. Multiple values permitted, comma separated.","Aggregation, Allele Frequency Distribution Analysis, Analysis, Annotation, Box-Whisker Plot Plotting, Calculation, Cell Migration Analysis, Cell Modelling, Cell Number Quantification, Cell Type Enrichment Analysis, Classification, Clustering, Clustering Profile Plotting, Comparison, Conversion, Copy Number Variation Detection, Correlation, DNA Barcoding, Data Handling, Data Retrieval, Database Search, De Novo Sequencing, Demultiplexing, Differential Gene Expression Profiling, Differential Protein Expression Profiling, Dimensionality Reduction, Editing, Enrichment Analysis, Expression Analysis, Expression Correlation Analysis, Expression Data Visualisation, Expression Profile Clustering, Expression Profile Comparison, Functional Clustering, Gene Expression Profiling, Gene Methylation Analysis, Gene Regulatory Network Analysis, Gene Regulatory Network Prediction, Gene-Set Enrichment Analysis, Generation, Genetic Mapping, Genetic Variation Analysis, Genome Analysis, Genome Annotation, Genome Visualisation, Genotyping, Heat Map Generation, Image Analysis, Imputation, Incident Curve Plotting, Information Retrieval, Linkage Analysis, Mapping, Metabolic Pathway Prediction, Methylation Analysis, Microscope Image Visualisation, Modelling and Simulation, Molecular Dynamics, Network Analysis, Network Visualisation, Nucleic Acid Feature Detection, Nucleic Acid Sequence Analysis, Nucleosome Position Prediction, Ontology Visualisation, Pathway Analysis, Pathway Modelling, Peak Calling, Phylogenetic Analysis, Prediction and Recognition, Principal Component Analysis, Protein Comparison, Protein Function Comparison, Protein Function Prediction, Protein Identification, Protein Interaction Network Analysis, Protein Quantification, Protein-Protein Interaction Analysis, Quantification, Query and Retrieval, RNA Secondary Structure Prediction, RNA-Seq Analysis, RNA-Seq Quantification, Regression Analysis, SNP Annotation, SNP Detection, Scatter Plot Plotting, Sequence Alignment Analysis, Sequence Alignment Comparison, Sequence Analysis, Sequence Annotation, Sequence Classification, Sequence Cluster Visualisation, Sequence Clustering, Sequence Comparison, Sequence Composition Calculation, Sequence Editing, Sequence File Editing, Sequence Read Processing, Sequencing Quality Control, Simulated Gene Expression Data Generation, Sorting, Spectral Analysis, Standardisation and Normalisation, Statistical Calculation, Statistical Inference, Statistical Modelling, Structural Variation Detection, Structure Analysis, Text Mining, Tissue Modelling, Validation, Variant Calling, Variant Classification, Variant Effect Prediction, Visualisation, scRNA-Seq Analysis, Agent-Based Cell Modelling, Not Applicable",,True,,,string_list,,,,,,biotoolsschema
Tool Output Data,"Type of primary output data. Multiple values permitted, comma separated.","Accession, Alignment, Biological Model ID, Biological Model Name, Cell Line Name, Cell Migration Track Image, Cell Type Identifier, Cell Type Name, Cell Type Ontology ID, Chromosome Name, Chromosome Report, Clustered Expression Profiles, Codon Number, Comparison Matrix, Compound Identifier, Compound Name, Concentration, Count Matrix, DNA Sequence, Data Index, Data Reference, Database Search Results, Drug Identifier, Drug Name, Drug Report, Electronic Health Record, Enzyme Kinetics Data, Experimental Measurement, Expression Data, GO-Term Enrichment Data, Gene Expression Matrix, Gene Expression Profile, Gene ID, Gene ID (NCBI), Gene Identifier, Gene Name, Gene Report, Gene Symbol, Gene Tree, Genetic Map, Genotype/Phenotype Report, Heat Map, Hidden Markov Model, Hierarchy, Histogram, Identifier, Image, Image Metadata, Kinetic Model, MRI Image, Map, Map Data, Mass Spectrometry Data, Mass Spectrum, Mathematical Model, Matrix, Molecular Property, Molecular Simulation Data, Molecule Identifier, Molecule Name, Morphology Parameter, Mutation ID, Not Applicable, Nucleic Acid Identifier, Nucleic Acid Report, Nucleic Acid Sequence, Ontology, Ontology Concept Data, Ontology Data, Ontology Identifier, Ontology Mapping, Ontology Name, Ontology Term, Organism Identifier, Organism Name, Over-Represesntation Data, P-Value, Pair Sequence Alignment, Pathway Or Network, Pathway Or Network Report, Pathway Overrepresentation Data, Peptide Identification, Peptide Property, Phenotype Name, Phylogenetic Data, Phylogenetic Tree, Plain Text, Plot, Position Weight Matrix, Position-Specific Scoring Matrix, Protein Contact Map, Protein Identifier, Protein Interaction Data, Protein Name, Protein Property, Protein Report, Protein Sequence, Protein Structure Report, Quality Control Report, RNA Sequence, Raw Image, Reaction Data, RefSeq Accession, Report, Resource Metadata, Sample Annotation, Sample ID, Score, Sequence, Sequence Alignment, Sequence Attribute, Sequence Cluster, Sequence Composition Plot, Sequence Composition Report, Sequence Coordinates, Sequence Features, Sequence Image, Sequence Motif, Sequence Position, Sequence Property, Sequence Range, Sequence Record, Sequence Report, Sequence Search Results, Sequence Set, Sequence Signature Data, Sequence Similarity, Sequence Similarity Score, Sequence Variations, Simulation, Small Molecule Report, Spectrum, Statistical Estimate Score, Strain Identifier, Strain Name, Structure, Structure Report, Taxonomy, Text Data, Text Mining Report, Topology Data, Training Material, Trajectory Data, Transcription Factor Identifier, Transcription Factor Name, Vmax, dbSNP ID",,True,,,string_list,,,,,,biotoolsschema
Tool Output Format,"Allowed format(s) of the output data. Multiple values permitted, comma separated.","Alignment Format, Alignment Format (Pair Only), Alignment Format (Text), Annotated Text Format, Antimony, BAM, BCF, BED, BLAST Results, BNGL, Binary Format, Biological Model Format, Biological Pathway Or Network Format, CSV, Chemical Data Format, Cytoband Format, Cytoscape Input File Format, DCC, DCD, DSV, Database Hits (Sequence) Format , Docker Image Format, Document Format, Dot-Bracket Format, FASTA, FASTQ, FASTQ-Illumina, FCS, GCT/Res Format, GFF, GFF3, GIF, GML, GTF, Gene Annotation Format, Gene Cluster Format, Gene Expression Report Format, Genotype And Phenotype Annotation Format, Graph Format, H5AD, HDF, HDF5, HTML, Hidden Markov Model Format, Image Format, Individual Genetic Data Format, JPG, JSON, LSM, MAF, MAGE-ML, MAGE-TAB, MAT, MATLAB Script, MSF, Map Format, Mass Spectrometry Data Format, Matrix Format, NIFTI Format, Nexus Format, Not Applicable, NumPy Format, OME-TIFF, Ontology Format, PDF, PNG, PS, PSF, Phylip Format, Phylip Format Variant, Phylogenetic Tree Format, Phylogenetic Tree Format (Text), Protein Interaction Format, Python Script, R File Format, R Script, RDS, RNA Annotation Format, RNA Secondary Structure Format, RPKM, Raw Sequence Format, SAM, SBML, SQLite Format, SVG, Scores Format, Sequence Annotation Track Format, Sequence Cluster Format, Sequence Cluster Format (Protein), Sequence Feature Annotation Format, Sequence Feature Table Format, Sequence Feature Table Format (Text), Sequence Profile Format, Sequence Range Format, Sequence Record Format, Sequence Trace Format, Sequence Variation Annotation Format, TIFF, TSV, TXT, Tertiary Structure Format, Textual Format, Topology Format, Trajectory Format, VCF, Workflow Format, XML, YAML, bedgraph, bigWig, cel, imzML Metadata File, mzML, nii, pkl, sif, xls, xlsx, PDB, HED, MRC, Unspecified",,True,,,string_list,,,,,,biotoolsschema
Tool Package Dependencies,"Specifies the software libraries, frameworks, or other components that a tool or package relies on for its proper functioning. This attribute helps users understand the prerequisites needed for installation and usage of the tool within a given computational environment",,,,,,string_list,,,,,,CWL
Tool Package Dependencies Present,Indicates whether the required package dependencies for tool are present.,"True, False",,True,,,boolean,,,,,,CWL
Tool Release Date,The release date of a product or product model. This can be used to distinguish the exact variant of a product.,,,True,,,string,date,,,,,schema.org
Tool Topic,"General scientific domain the software serves, or other general category. Multiple values permitted, comma separated.","Allergy Clinical Immunology and Immunotherapeutics, Biochemistry, Bioimaging, Bioinformatics, Biological Databases, Biology, Biomedical Science, Biomolecular Simulation, Biophysics, Biotechnology, Biotherapeutics, Cell Biology, Cell Culture Collection, Chemistry, Chip-Seq, Chromosome Conformation Capture, Comparative Genomics, Compound Libraries and Screening, Computational Biology, Computer Science, Cytogenetics, Cytometry, DNA, DNA Mutation, DNA Packaging, DNA Polymorphism, Data Architecture Analysis and Design, Data Identity and Mapping, Data Mining, Data Submission Annotation and Curation, Data Visualisation, Developmental Biology, Drug Development, Drug Discovery, Drug Metabolism, Electron Microscopy, Epigenetics, Evolutionary Biology, Exome Sequencing, Experimental Design and Studies, Function Analysis, Functional Genomics, Functional Regulatory and Non-Coding RNA, GWAS Study, Gene Expression, Gene Regulation, Gene Structure, Gene Transcripts, Gene and Protein Families, Genetic Engineering, Genetic Variation, Genetics, Genomics, Genotype and Phenotype, Imaging, Immunoinformatics, Immunology, Immunomics, Immunoprecipitation Experiment, Immunoproteins and Antigens, Infectious Disease, Informatics, Laboratory Techniques, Light Microscopy, Lipids, Machine Learning, Mapping, Mathematics, Medical Imaging, Medical Informatics, Medicine, Medicines Research and Development, Membrane and Lipoproteins, Metagenomics, Molecular Biology, Molecular Genetics, Molecular Interactions Pathways and Networks, Nucleic Acid Structure Analysis, Nucleic Acids, Omics, Oncology, Ontology and Terminology, Pathology, Pharmacogenomics, Pharmacology, Pharmacovigilance, Phylogenetics, Phylogenomics, Phylogeny, Preclinical and Clinical Studies, Probes and Primers, Protein Expression, Protein Modifications, Protein Properties, Proteins, Proteomics, Proteomics Experiment, RNA, RNA-Seq, Safety Sciences, Sample Collections, Sequence Analysis, Sequencing, Simulation Experiment, Software Engineering, Statistics and Probability, Structural Analysis, Structural Biology, Systems Biology, Transcription Factors and Regulatory Sites, Transcriptomics, Virology, Whole Genome Sequencing, Workflows, scRNA-Seq",,,,,string_list,,,,,,biotoolsschema
Tool Type,"A type of application software: a discrete software entity can have more than one type. Multiple values permitted, comma separated.","Bioinformatics Portal, Command-Line Tool, Database Portal, Desktop Application, Library, Notebook, Ontology, Other, Plug-In, SPARQL Endpoint, Script, Serialized Model, Suite, Web API, Web Application, Web Service, Workbench, Workflow",,,,,string_list,,,,,,biotoolsschema
